seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,deep10m,48,8,ivf_tq,1000000,87.543,0.0
42,deep10m,48,8,ivf_pq_stale,1000000,82.061,0.0
42,deep10m,48,8,ivf_pq_retrain,1000000,82.061,0.0
42,deep10m,48,8,ivf_tq,2000000,87.315,19.3
42,deep10m,48,8,ivf_pq_stale,2000000,81.187,19.3
42,deep10m,48,8,ivf_pq_retrain,2000000,81.197,19.3
42,deep10m,48,8,ivf_tq,3000000,87.235,41.8
42,deep10m,48,8,ivf_pq_stale,3000000,80.754,41.8
42,deep10m,48,8,ivf_pq_retrain,3000000,80.761,41.8
42,deep10m,48,8,ivf_tq,4000000,86.965,67.5
42,deep10m,48,8,ivf_pq_stale,4000000,80.316,67.5
42,deep10m,48,8,ivf_pq_retrain,4000000,80.269,67.5
42,deep10m,48,8,ivf_tq,5000000,86.888,96.8
42,deep10m,48,8,ivf_pq_stale,5000000,79.841,96.8
42,deep10m,48,8,ivf_pq_retrain,5000000,79.905,96.8
42,deep10m,48,8,ivf_tq,6000000,86.842,129.9
42,deep10m,48,8,ivf_pq_stale,6000000,79.595,129.9
42,deep10m,48,8,ivf_pq_retrain,6000000,79.497,129.9
42,deep10m,48,8,ivf_tq,7000000,86.701,166.1
42,deep10m,48,8,ivf_pq_stale,7000000,79.439,166.1
42,deep10m,48,8,ivf_pq_retrain,7000000,79.456,166.1
42,deep10m,48,8,ivf_tq,8000000,86.737,206.2
42,deep10m,48,8,ivf_pq_stale,8000000,79.234,206.2
42,deep10m,48,8,ivf_pq_retrain,8000000,79.181,206.2
42,deep10m,48,8,ivf_tq,9000000,86.712,250.1
42,deep10m,48,8,ivf_pq_stale,9000000,79.094,250.1
42,deep10m,48,8,ivf_pq_retrain,9000000,79.115,250.1
42,deep10m,48,8,ivf_tq,9990000,86.65,297.2
42,deep10m,48,8,ivf_pq_stale,9990000,78.898,297.2
42,deep10m,48,8,ivf_pq_retrain,9990000,78.959,297.2
123,deep10m,48,8,ivf_tq,1000000,87.302,0.0
123,deep10m,48,8,ivf_pq_stale,1000000,82.085,0.0
123,deep10m,48,8,ivf_pq_retrain,1000000,82.085,0.0
123,deep10m,48,8,ivf_tq,2000000,87.238,18.9
123,deep10m,48,8,ivf_pq_stale,2000000,81.031,18.9
123,deep10m,48,8,ivf_pq_retrain,2000000,81.162,18.9
123,deep10m,48,8,ivf_tq,3000000,87.133,41.2
