seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,deep10m,96,8,ivf_tq,1000000,87.543,0.0
42,deep10m,96,8,ivf_pq_stale,1000000,91.429,0.0
42,deep10m,96,8,ivf_pq_retrain,1000000,91.429,0.0
42,deep10m,96,8,ivf_tq,2000000,87.315,22.9
42,deep10m,96,8,ivf_pq_stale,2000000,91.809,22.9
42,deep10m,96,8,ivf_pq_retrain,2000000,91.886,22.9
42,deep10m,96,8,ivf_tq,3000000,87.235,50.5
42,deep10m,96,8,ivf_pq_stale,3000000,92.128,50.5
42,deep10m,96,8,ivf_pq_retrain,3000000,92.268,50.5
42,deep10m,96,8,ivf_tq,4000000,86.965,83.7
42,deep10m,96,8,ivf_pq_stale,4000000,92.438,83.7
42,deep10m,96,8,ivf_pq_retrain,4000000,92.233,83.7
42,deep10m,96,8,ivf_tq,5000000,86.888,123.3
42,deep10m,96,8,ivf_pq_stale,5000000,92.522,123.3
42,deep10m,96,8,ivf_pq_retrain,5000000,92.361,123.3
42,deep10m,96,8,ivf_tq,6000000,86.842,166.8
42,deep10m,96,8,ivf_pq_stale,6000000,92.568,166.8
42,deep10m,96,8,ivf_pq_retrain,6000000,92.49,166.8
42,deep10m,96,8,ivf_tq,7000000,86.701,213.7
42,deep10m,96,8,ivf_pq_stale,7000000,92.679,213.7
42,deep10m,96,8,ivf_pq_retrain,7000000,92.57,213.7
42,deep10m,96,8,ivf_tq,8000000,86.737,265.9
42,deep10m,96,8,ivf_pq_stale,8000000,92.802,265.9
42,deep10m,96,8,ivf_pq_retrain,8000000,92.735,265.9
42,deep10m,96,8,ivf_tq,9000000,86.712,330.4
42,deep10m,96,8,ivf_pq_stale,9000000,92.837,330.4
42,deep10m,96,8,ivf_pq_retrain,9000000,92.738,330.4
42,deep10m,96,8,ivf_tq,9990000,86.65,402.8
42,deep10m,96,8,ivf_pq_stale,9990000,92.873,402.8
42,deep10m,96,8,ivf_pq_retrain,9990000,92.782,402.8
123,deep10m,96,8,ivf_tq,1000000,87.302,0.0
123,deep10m,96,8,ivf_pq_stale,1000000,91.261,0.0
123,deep10m,96,8,ivf_pq_retrain,1000000,91.261,0.0
123,deep10m,96,8,ivf_tq,2000000,87.238,23.8
123,deep10m,96,8,ivf_pq_stale,2000000,91.816,23.8
123,deep10m,96,8,ivf_pq_retrain,2000000,91.83,23.8
123,deep10m,96,8,ivf_tq,3000000,87.133,52.7
123,deep10m,96,8,ivf_pq_stale,3000000,92.083,52.7
123,deep10m,96,8,ivf_pq_retrain,3000000,92.157,52.7
123,deep10m,96,8,ivf_tq,4000000,87.008,86.9
123,deep10m,96,8,ivf_pq_stale,4000000,92.118,86.9
123,deep10m,96,8,ivf_pq_retrain,4000000,92.213,86.9
123,deep10m,96,8,ivf_tq,5000000,86.902,126.7
123,deep10m,96,8,ivf_pq_stale,5000000,92.348,126.7
123,deep10m,96,8,ivf_pq_retrain,5000000,92.464,126.7
123,deep10m,96,8,ivf_tq,6000000,86.911,171.0
123,deep10m,96,8,ivf_pq_stale,6000000,92.582,171.0
123,deep10m,96,8,ivf_pq_retrain,6000000,92.45,171.0
123,deep10m,96,8,ivf_tq,7000000,86.868,220.2
123,deep10m,96,8,ivf_pq_stale,7000000,92.614,220.2
123,deep10m,96,8,ivf_pq_retrain,7000000,92.668,220.2
123,deep10m,96,8,ivf_tq,8000000,86.695,274.8
123,deep10m,96,8,ivf_pq_stale,8000000,92.68,274.8
123,deep10m,96,8,ivf_pq_retrain,8000000,92.639,274.8
123,deep10m,96,8,ivf_tq,9000000,86.783,333.4
123,deep10m,96,8,ivf_pq_stale,9000000,92.712,333.4
123,deep10m,96,8,ivf_pq_retrain,9000000,92.799,333.4
123,deep10m,96,8,ivf_tq,9990000,86.606,397.2
123,deep10m,96,8,ivf_pq_stale,9990000,92.803,397.2
123,deep10m,96,8,ivf_pq_retrain,9990000,92.875,397.2
7777,deep10m,96,8,ivf_tq,1000000,87.327,0.0
7777,deep10m,96,8,ivf_pq_stale,1000000,91.21,0.0
7777,deep10m,96,8,ivf_pq_retrain,1000000,91.21,0.0
7777,deep10m,96,8,ivf_tq,2000000,87.277,22.7
7777,deep10m,96,8,ivf_pq_stale,2000000,91.707,22.7
7777,deep10m,96,8,ivf_pq_retrain,2000000,91.797,22.7
7777,deep10m,96,8,ivf_tq,3000000,87.219,50.5
7777,deep10m,96,8,ivf_pq_stale,3000000,91.879,50.5
7777,deep10m,96,8,ivf_pq_retrain,3000000,92.158,50.5
7777,deep10m,96,8,ivf_tq,4000000,86.907,83.7
7777,deep10m,96,8,ivf_pq_stale,4000000,92.067,83.7
7777,deep10m,96,8,ivf_pq_retrain,4000000,92.336,83.7
7777,deep10m,96,8,ivf_tq,5000000,86.967,123.0
7777,deep10m,96,8,ivf_pq_stale,5000000,92.136,123.0
7777,deep10m,96,8,ivf_pq_retrain,5000000,92.404,123.0
7777,deep10m,96,8,ivf_tq,6000000,86.743,167.1
7777,deep10m,96,8,ivf_pq_stale,6000000,92.315,167.1
7777,deep10m,96,8,ivf_pq_retrain,6000000,92.538,167.1
7777,deep10m,96,8,ivf_tq,7000000,86.734,215.5
7777,deep10m,96,8,ivf_pq_stale,7000000,92.341,215.5
7777,deep10m,96,8,ivf_pq_retrain,7000000,92.665,215.5
7777,deep10m,96,8,ivf_tq,8000000,86.597,268.1
7777,deep10m,96,8,ivf_pq_stale,8000000,92.422,268.1
