seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,deep10m,48,10,ivf_tq,1000000,87.543,0.0
42,deep10m,48,10,ivf_pq_stale,1000000,87.337,0.0
42,deep10m,48,10,ivf_pq_retrain,1000000,87.337,0.0
42,deep10m,48,10,ivf_tq,2000000,87.315,35.3
42,deep10m,48,10,ivf_pq_stale,2000000,86.994,35.3
42,deep10m,48,10,ivf_pq_retrain,2000000,87.024,35.3
42,deep10m,48,10,ivf_tq,3000000,87.235,79.9
42,deep10m,48,10,ivf_pq_stale,3000000,86.948,79.9
42,deep10m,48,10,ivf_pq_retrain,3000000,87.103,79.9
42,deep10m,48,10,ivf_tq,4000000,86.965,133.7
42,deep10m,48,10,ivf_pq_stale,4000000,86.886,133.7
42,deep10m,48,10,ivf_pq_retrain,4000000,86.803,133.7
42,deep10m,48,10,ivf_tq,5000000,86.888,197.2
42,deep10m,48,10,ivf_pq_stale,5000000,86.844,197.2
42,deep10m,48,10,ivf_pq_retrain,5000000,86.561,197.2
42,deep10m,48,10,ivf_tq,6000000,86.842,271.5
42,deep10m,48,10,ivf_pq_stale,6000000,86.686,271.5
42,deep10m,48,10,ivf_pq_retrain,6000000,86.474,271.5
42,deep10m,48,10,ivf_tq,7000000,86.701,354.4
42,deep10m,48,10,ivf_pq_stale,7000000,86.683,354.4
42,deep10m,48,10,ivf_pq_retrain,7000000,86.538,354.4
42,deep10m,48,10,ivf_tq,8000000,86.737,447.0
42,deep10m,48,10,ivf_pq_stale,8000000,86.604,447.0
42,deep10m,48,10,ivf_pq_retrain,8000000,86.52,447.0
42,deep10m,48,10,ivf_tq,9000000,86.712,552.6
42,deep10m,48,10,ivf_pq_stale,9000000,86.515,552.6
42,deep10m,48,10,ivf_pq_retrain,9000000,86.458,552.6
42,deep10m,48,10,ivf_tq,9990000,86.65,666.9
42,deep10m,48,10,ivf_pq_stale,9990000,86.439,666.9
42,deep10m,48,10,ivf_pq_retrain,9990000,86.373,666.9
123,deep10m,48,10,ivf_tq,1000000,87.302,0.0
123,deep10m,48,10,ivf_pq_stale,1000000,87.117,0.0
123,deep10m,48,10,ivf_pq_retrain,1000000,87.117,0.0
123,deep10m,48,10,ivf_tq,2000000,87.238,35.3
123,deep10m,48,10,ivf_pq_stale,2000000,86.871,35.3
123,deep10m,48,10,ivf_pq_retrain,2000000,87.067,35.3
123,deep10m,48,10,ivf_tq,3000000,87.133,79.7
123,deep10m,48,10,ivf_pq_stale,3000000,86.896,79.7
123,deep10m,48,10,ivf_pq_retrain,3000000,87.076,79.7
123,deep10m,48,10,ivf_tq,4000000,87.008,134.9
123,deep10m,48,10,ivf_pq_stale,4000000,86.642,134.9
123,deep10m,48,10,ivf_pq_retrain,4000000,86.769,134.9
123,deep10m,48,10,ivf_tq,5000000,86.902,199.5
123,deep10m,48,10,ivf_pq_stale,5000000,86.595,199.5
123,deep10m,48,10,ivf_pq_retrain,5000000,86.687,199.5
123,deep10m,48,10,ivf_tq,6000000,86.911,273.5
123,deep10m,48,10,ivf_pq_stale,6000000,86.638,273.5
123,deep10m,48,10,ivf_pq_retrain,6000000,86.644,273.5
123,deep10m,48,10,ivf_tq,7000000,86.868,357.5
123,deep10m,48,10,ivf_pq_stale,7000000,86.53,357.5
123,deep10m,48,10,ivf_pq_retrain,7000000,86.644,357.5
123,deep10m,48,10,ivf_tq,8000000,86.695,448.5
123,deep10m,48,10,ivf_pq_stale,8000000,86.597,448.5
123,deep10m,48,10,ivf_pq_retrain,8000000,86.52,448.5
123,deep10m,48,10,ivf_tq,9000000,86.783,549.1
123,deep10m,48,10,ivf_pq_stale,9000000,86.463,549.1
123,deep10m,48,10,ivf_pq_retrain,9000000,86.54,549.1
123,deep10m,48,10,ivf_tq,9990000,86.606,675.3
123,deep10m,48,10,ivf_pq_stale,9990000,86.399,675.3
123,deep10m,48,10,ivf_pq_retrain,9990000,86.342,675.3
7777,deep10m,48,10,ivf_tq,1000000,87.327,0.0
7777,deep10m,48,10,ivf_pq_stale,1000000,87.178,0.0
7777,deep10m,48,10,ivf_pq_retrain,1000000,87.178,0.0
7777,deep10m,48,10,ivf_tq,2000000,87.277,34.8
7777,deep10m,48,10,ivf_pq_stale,2000000,86.884,34.8
7777,deep10m,48,10,ivf_pq_retrain,2000000,86.996,34.8
7777,deep10m,48,10,ivf_tq,3000000,87.219,79.1
7777,deep10m,48,10,ivf_pq_stale,3000000,86.887,79.1
7777,deep10m,48,10,ivf_pq_retrain,3000000,86.943,79.1
7777,deep10m,48,10,ivf_tq,4000000,86.907,132.8
7777,deep10m,48,10,ivf_pq_stale,4000000,86.737,132.8
7777,deep10m,48,10,ivf_pq_retrain,4000000,86.813,132.8
7777,deep10m,48,10,ivf_tq,5000000,86.967,196.0
7777,deep10m,48,10,ivf_pq_stale,5000000,86.615,196.0
7777,deep10m,48,10,ivf_pq_retrain,5000000,86.691,196.0
7777,deep10m,48,10,ivf_tq,6000000,86.743,269.7
7777,deep10m,48,10,ivf_pq_stale,6000000,86.44,269.7
7777,deep10m,48,10,ivf_pq_retrain,6000000,86.498,269.7
7777,deep10m,48,10,ivf_tq,7000000,86.734,351.1
7777,deep10m,48,10,ivf_pq_stale,7000000,86.498,351.1
7777,deep10m,48,10,ivf_pq_retrain,7000000,86.6,351.1
7777,deep10m,48,10,ivf_tq,8000000,86.597,443.7
7777,deep10m,48,10,ivf_pq_stale,8000000,86.473,443.7
7777,deep10m,48,10,ivf_pq_retrain,8000000,86.465,443.7
7777,deep10m,48,10,ivf_tq,9000000,86.554,545.5
7777,deep10m,48,10,ivf_pq_stale,9000000,86.488,545.5
7777,deep10m,48,10,ivf_pq_retrain,9000000,86.484,545.5
7777,deep10m,48,10,ivf_tq,9990000,86.518,659.3
7777,deep10m,48,10,ivf_pq_stale,9990000,86.274,659.3
7777,deep10m,48,10,ivf_pq_retrain,9990000,86.513,659.3
