seed,dataset,variant,vectors_indexed,recall10
42,deep10m,pq_oracle,1000000,87.006
42,deep10m,pq_stale,1000000,87.337
42,deep10m,ivf_tq,1000000,87.292
42,deep10m,pq_oracle,2000000,86.894
42,deep10m,pq_stale,2000000,86.994
42,deep10m,ivf_tq,2000000,87.169
42,deep10m,pq_oracle,3000000,86.877
42,deep10m,pq_stale,3000000,86.948
42,deep10m,ivf_tq,3000000,86.98
42,deep10m,pq_oracle,4000000,86.723
42,deep10m,pq_stale,4000000,86.886
42,deep10m,ivf_tq,4000000,86.853
42,deep10m,pq_oracle,5000000,86.498
42,deep10m,pq_stale,5000000,86.844
42,deep10m,ivf_tq,5000000,86.725
42,deep10m,pq_oracle,6000000,86.473
42,deep10m,pq_stale,6000000,86.686
42,deep10m,ivf_tq,6000000,86.636
42,deep10m,pq_oracle,7000000,86.549
42,deep10m,pq_stale,7000000,86.683
42,deep10m,ivf_tq,7000000,86.521
42,deep10m,pq_oracle,8000000,86.495
42,deep10m,pq_stale,8000000,86.604
42,deep10m,ivf_tq,8000000,86.612
42,deep10m,pq_oracle,9000000,86.394
42,deep10m,pq_stale,9000000,86.515
42,deep10m,ivf_tq,9000000,86.604
42,deep10m,pq_oracle,9990000,86.373
42,deep10m,pq_stale,9990000,86.439
42,deep10m,ivf_tq,9990000,86.58
123,deep10m,pq_oracle,1000000,86.966
123,deep10m,pq_stale,1000000,87.117
123,deep10m,ivf_tq,1000000,87.309
123,deep10m,pq_oracle,2000000,86.861
123,deep10m,pq_stale,2000000,86.871
123,deep10m,ivf_tq,2000000,87.149
123,deep10m,pq_oracle,3000000,86.8
123,deep10m,pq_stale,3000000,86.896
123,deep10m,ivf_tq,3000000,87.199
123,deep10m,pq_oracle,4000000,86.906
123,deep10m,pq_stale,4000000,86.642
123,deep10m,ivf_tq,4000000,86.996
123,deep10m,pq_oracle,5000000,86.749
123,deep10m,pq_stale,5000000,86.595
123,deep10m,ivf_tq,5000000,86.885
123,deep10m,pq_oracle,6000000,86.644
123,deep10m,pq_stale,6000000,86.638
123,deep10m,ivf_tq,6000000,86.836
123,deep10m,pq_oracle,7000000,86.693
123,deep10m,pq_stale,7000000,86.53
123,deep10m,ivf_tq,7000000,86.765
123,deep10m,pq_oracle,8000000,86.66
123,deep10m,pq_stale,8000000,86.597
123,deep10m,ivf_tq,8000000,86.791
123,deep10m,pq_oracle,9000000,86.53
123,deep10m,pq_stale,9000000,86.463
123,deep10m,ivf_tq,9000000,86.634
123,deep10m,pq_oracle,9990000,86.342
123,deep10m,pq_stale,9990000,86.399
123,deep10m,ivf_tq,9990000,86.546
7777,deep10m,pq_oracle,1000000,86.783
7777,deep10m,pq_stale,1000000,87.178
7777,deep10m,ivf_tq,1000000,87.353
7777,deep10m,pq_oracle,2000000,86.968
7777,deep10m,pq_stale,2000000,86.884
7777,deep10m,ivf_tq,2000000,87.141
7777,deep10m,pq_oracle,3000000,86.909
7777,deep10m,pq_stale,3000000,86.887
7777,deep10m,ivf_tq,3000000,87.064
7777,deep10m,pq_oracle,4000000,86.82
7777,deep10m,pq_stale,4000000,86.737
7777,deep10m,ivf_tq,4000000,87.015
7777,deep10m,pq_oracle,5000000,86.69
7777,deep10m,pq_stale,5000000,86.615
7777,deep10m,ivf_tq,5000000,86.906
7777,deep10m,pq_oracle,6000000,86.72
7777,deep10m,pq_stale,6000000,86.44
7777,deep10m,ivf_tq,6000000,86.897
7777,deep10m,pq_oracle,7000000,86.669
7777,deep10m,pq_stale,7000000,86.498
7777,deep10m,ivf_tq,7000000,86.796
7777,deep10m,pq_oracle,8000000,86.613
7777,deep10m,pq_stale,8000000,86.473
7777,deep10m,ivf_tq,8000000,86.887
7777,deep10m,pq_oracle,9000000,86.606
7777,deep10m,pq_stale,9000000,86.488
7777,deep10m,ivf_tq,9000000,86.77
7777,deep10m,pq_oracle,9990000,86.513
7777,deep10m,pq_stale,9990000,86.274
7777,deep10m,ivf_tq,9990000,86.625
