seed,dataset,variant,vectors_indexed,recall10
42,sift10m,pq_oracle,1000000,79.355
42,sift10m,pq_stale,1000000,80.174
42,sift10m,pq_refreshed,1000000,80.174
42,sift10m,ivf_tq,1000000,84.082
42,sift10m,pq_oracle,2000000,79.039
42,sift10m,pq_stale,2000000,79.451
42,sift10m,pq_refreshed,2000000,79.551
42,sift10m,ivf_tq,2000000,84.381
42,sift10m,pq_oracle,3000000,78.882
42,sift10m,pq_stale,3000000,78.997
42,sift10m,pq_refreshed,3000000,79.149
42,sift10m,ivf_tq,3000000,84.628
42,sift10m,pq_oracle,4000000,78.684
42,sift10m,pq_stale,4000000,78.733
42,sift10m,pq_refreshed,4000000,78.978
42,sift10m,ivf_tq,4000000,84.625
42,sift10m,pq_oracle,5000000,78.344
42,sift10m,pq_stale,5000000,78.454
42,sift10m,pq_refreshed,5000000,78.472
42,sift10m,ivf_tq,5000000,84.643
42,sift10m,pq_oracle,6000000,78.269
42,sift10m,pq_stale,6000000,78.259
42,sift10m,pq_refreshed,6000000,78.395
42,sift10m,ivf_tq,6000000,84.618
42,sift10m,pq_oracle,7000000,78.178
42,sift10m,pq_stale,7000000,78.05
42,sift10m,pq_refreshed,7000000,78.116
42,sift10m,ivf_tq,7000000,84.511
42,sift10m,pq_oracle,8000000,77.995
42,sift10m,pq_stale,8000000,77.884
42,sift10m,pq_refreshed,8000000,77.882
42,sift10m,ivf_tq,8000000,84.434
42,sift10m,pq_oracle,9000000,77.858
42,sift10m,pq_stale,9000000,77.678
42,sift10m,pq_refreshed,9000000,77.857
42,sift10m,ivf_tq,9000000,84.478
42,sift10m,pq_oracle,10000000,77.656
42,sift10m,pq_stale,10000000,77.706
42,sift10m,pq_refreshed,10000000,77.656
42,sift10m,ivf_tq,10000000,84.471
123,sift10m,pq_oracle,1000000,79.452
123,sift10m,pq_stale,1000000,80.01
123,sift10m,pq_refreshed,1000000,80.01
123,sift10m,ivf_tq,1000000,83.817
123,sift10m,pq_oracle,2000000,79.286
123,sift10m,pq_stale,2000000,79.387
123,sift10m,pq_refreshed,2000000,79.538
123,sift10m,ivf_tq,2000000,84.306
123,sift10m,pq_oracle,3000000,79.052
123,sift10m,pq_stale,3000000,79.079
123,sift10m,pq_refreshed,3000000,79.141
123,sift10m,ivf_tq,3000000,84.488
123,sift10m,pq_oracle,4000000,78.795
123,sift10m,pq_stale,4000000,78.721
123,sift10m,pq_refreshed,4000000,79.026
123,sift10m,ivf_tq,4000000,84.559
123,sift10m,pq_oracle,5000000,78.546
123,sift10m,pq_stale,5000000,78.227
123,sift10m,pq_refreshed,5000000,78.7
123,sift10m,ivf_tq,5000000,84.525
123,sift10m,pq_oracle,6000000,78.238
123,sift10m,pq_stale,6000000,78.116
123,sift10m,pq_refreshed,6000000,78.421
123,sift10m,ivf_tq,6000000,84.598
123,sift10m,pq_oracle,7000000,78.11
123,sift10m,pq_stale,7000000,78.019
123,sift10m,pq_refreshed,7000000,78.093
123,sift10m,ivf_tq,7000000,84.593
123,sift10m,pq_oracle,8000000,77.95
123,sift10m,pq_stale,8000000,77.919
123,sift10m,pq_refreshed,8000000,77.951
123,sift10m,ivf_tq,8000000,84.544
123,sift10m,pq_oracle,9000000,77.769
123,sift10m,pq_stale,9000000,77.803
123,sift10m,pq_refreshed,9000000,77.743
123,sift10m,ivf_tq,9000000,84.429
123,sift10m,pq_oracle,10000000,77.563
123,sift10m,pq_stale,10000000,77.671
123,sift10m,pq_refreshed,10000000,77.563
123,sift10m,ivf_tq,10000000,84.561
7777,sift10m,pq_oracle,1000000,79.209
7777,sift10m,pq_stale,1000000,79.819
7777,sift10m,pq_refreshed,1000000,79.819
7777,sift10m,ivf_tq,1000000,83.711
7777,sift10m,pq_oracle,2000000,78.967
7777,sift10m,pq_stale,2000000,79.524
7777,sift10m,pq_refreshed,2000000,79.473
7777,sift10m,ivf_tq,2000000,84.054
7777,sift10m,pq_oracle,3000000,78.837
7777,sift10m,pq_stale,3000000,79.09
7777,sift10m,pq_refreshed,3000000,78.958
7777,sift10m,ivf_tq,3000000,84.324
7777,sift10m,pq_oracle,4000000,78.666
7777,sift10m,pq_stale,4000000,78.678
7777,sift10m,pq_refreshed,4000000,78.831
7777,sift10m,ivf_tq,4000000,84.44
7777,sift10m,pq_oracle,5000000,78.355
7777,sift10m,pq_stale,5000000,78.266
7777,sift10m,pq_refreshed,5000000,78.52
7777,sift10m,ivf_tq,5000000,84.464
7777,sift10m,pq_oracle,6000000,78.348
7777,sift10m,pq_stale,6000000,78.236
7777,sift10m,pq_refreshed,6000000,78.44
7777,sift10m,ivf_tq,6000000,84.436
7777,sift10m,pq_oracle,7000000,78.031
7777,sift10m,pq_stale,7000000,78.074
7777,sift10m,pq_refreshed,7000000,78.17
7777,sift10m,ivf_tq,7000000,84.423
7777,sift10m,pq_oracle,8000000,77.902
7777,sift10m,pq_stale,8000000,77.882
7777,sift10m,pq_refreshed,8000000,77.898
7777,sift10m,ivf_tq,8000000,84.444
7777,sift10m,pq_oracle,9000000,77.689
7777,sift10m,pq_stale,9000000,77.706
7777,sift10m,pq_refreshed,9000000,77.979
7777,sift10m,ivf_tq,9000000,84.495
7777,sift10m,pq_oracle,10000000,77.596
7777,sift10m,pq_stale,10000000,77.684
7777,sift10m,pq_refreshed,10000000,77.596
7777,sift10m,ivf_tq,10000000,84.524
