seed,dataset,variant,vectors_indexed,recall10
42,t2i10m,pq_oracle,1000000,81.185
42,t2i10m,pq_stale,1000000,81.425
42,t2i10m,ivf_tq,1000000,81.691
42,t2i10m,pq_oracle,2000000,81.056
42,t2i10m,pq_stale,2000000,81.35
42,t2i10m,ivf_tq,2000000,81.321
42,t2i10m,pq_oracle,3000000,81.072
42,t2i10m,pq_stale,3000000,81.232
42,t2i10m,ivf_tq,3000000,81.397
42,t2i10m,pq_oracle,4000000,81.034
42,t2i10m,pq_stale,4000000,81.149
42,t2i10m,ivf_tq,4000000,81.263
42,t2i10m,pq_oracle,5000000,80.933
42,t2i10m,pq_stale,5000000,81.034
42,t2i10m,ivf_tq,5000000,81.186
42,t2i10m,pq_oracle,6000000,80.914
42,t2i10m,pq_stale,6000000,80.815
42,t2i10m,ivf_tq,6000000,81.136
42,t2i10m,pq_oracle,7000000,80.777
42,t2i10m,pq_stale,7000000,80.946
42,t2i10m,ivf_tq,7000000,80.992
42,t2i10m,pq_oracle,8000000,80.666
42,t2i10m,pq_stale,8000000,80.78
42,t2i10m,ivf_tq,8000000,81.019
42,t2i10m,pq_oracle,9000000,80.554
42,t2i10m,pq_stale,9000000,80.652
42,t2i10m,ivf_tq,9000000,80.978
42,t2i10m,pq_oracle,10000000,80.476
42,t2i10m,pq_stale,10000000,80.68
42,t2i10m,ivf_tq,10000000,80.815
123,t2i10m,pq_oracle,1000000,81.062
123,t2i10m,pq_stale,1000000,81.59
123,t2i10m,ivf_tq,1000000,81.566
123,t2i10m,pq_oracle,2000000,81.065
123,t2i10m,pq_stale,2000000,81.271
123,t2i10m,ivf_tq,2000000,81.422
123,t2i10m,pq_oracle,3000000,80.951
123,t2i10m,pq_stale,3000000,81.087
123,t2i10m,ivf_tq,3000000,81.301
123,t2i10m,pq_oracle,4000000,80.965
123,t2i10m,pq_stale,4000000,81.107
123,t2i10m,ivf_tq,4000000,81.25
123,t2i10m,pq_oracle,5000000,81.047
123,t2i10m,pq_stale,5000000,81.018
123,t2i10m,ivf_tq,5000000,81.122
123,t2i10m,pq_oracle,6000000,80.926
123,t2i10m,pq_stale,6000000,80.795
123,t2i10m,ivf_tq,6000000,81.076
123,t2i10m,pq_oracle,7000000,80.823
123,t2i10m,pq_stale,7000000,80.713
123,t2i10m,ivf_tq,7000000,81.085
123,t2i10m,pq_oracle,8000000,80.619
123,t2i10m,pq_stale,8000000,80.603
123,t2i10m,ivf_tq,8000000,81.039
123,t2i10m,pq_oracle,9000000,80.535
123,t2i10m,pq_stale,9000000,80.557
123,t2i10m,ivf_tq,9000000,80.915
123,t2i10m,pq_oracle,10000000,80.511
123,t2i10m,pq_stale,10000000,80.592
123,t2i10m,ivf_tq,10000000,80.896
7777,t2i10m,pq_oracle,1000000,81.097
7777,t2i10m,pq_stale,1000000,81.426
7777,t2i10m,ivf_tq,1000000,81.612
7777,t2i10m,pq_oracle,2000000,81.094
7777,t2i10m,pq_stale,2000000,80.986
7777,t2i10m,ivf_tq,2000000,81.383
7777,t2i10m,pq_oracle,3000000,81.016
7777,t2i10m,pq_stale,3000000,81.109
7777,t2i10m,ivf_tq,3000000,81.367
7777,t2i10m,pq_oracle,4000000,80.95
7777,t2i10m,pq_stale,4000000,81.02
7777,t2i10m,ivf_tq,4000000,81.272
7777,t2i10m,pq_oracle,5000000,80.93
7777,t2i10m,pq_stale,5000000,80.891
7777,t2i10m,ivf_tq,5000000,81.312
7777,t2i10m,pq_oracle,6000000,80.822
7777,t2i10m,pq_stale,6000000,80.732
7777,t2i10m,ivf_tq,6000000,81.268
7777,t2i10m,pq_oracle,7000000,80.777
7777,t2i10m,pq_stale,7000000,80.703
7777,t2i10m,ivf_tq,7000000,81.167
7777,t2i10m,pq_oracle,8000000,80.603
7777,t2i10m,pq_stale,8000000,80.649
7777,t2i10m,ivf_tq,8000000,81.083
7777,t2i10m,pq_oracle,9000000,80.547
7777,t2i10m,pq_stale,9000000,80.529
7777,t2i10m,ivf_tq,9000000,80.984
7777,t2i10m,pq_oracle,10000000,80.524
7777,t2i10m,pq_stale,10000000,80.501
7777,t2i10m,ivf_tq,10000000,81.101
