seed,dataset,cell,m_pq,bits_per_sub,index,rerank,vectors_indexed,recall10
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,1000000,87.291
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,1000000,92.457
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,1000000,87.337
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,1000000,92.596
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,2000000,87.166
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,2000000,93.269
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,2000000,86.988
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,2000000,93.253
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,3000000,86.98
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,3000000,93.608
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,3000000,86.928
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,3000000,93.705
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,4000000,86.852
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,4000000,93.864
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,4000000,86.866
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,4000000,94.094
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,5000000,86.723
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,5000000,94.091
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,5000000,86.824
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,5000000,94.301
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,6000000,86.637
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,6000000,94.279
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,6000000,86.666
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,6000000,94.379
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,7000000,86.519
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,7000000,94.428
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,7000000,86.663
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,7000000,94.579
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,8000000,86.612
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,8000000,94.565
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,8000000,86.584
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,8000000,94.674
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,9000000,86.604
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,9000000,94.663
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,9000000,86.495
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,9000000,94.736
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,0,9990000,86.58
42,deep10m,deep10m_pqmatched,48,10,ivf_tq,50,9990000,94.723
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,0,9990000,86.419
42,deep10m,deep10m_pqmatched,48,10,ivf_pq_stale,50,9990000,94.853
