seed,dataset,cell,m_pq,bits_per_sub,index,rerank,vectors_indexed,recall10
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,1000000,84.082
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,1000000,88.641
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,1000000,80.174
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,1000000,88.813
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,2000000,84.38
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,2000000,90.065
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,2000000,79.451
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,2000000,89.998
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,3000000,84.628
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,3000000,90.778
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,3000000,78.997
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,3000000,90.652
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,4000000,84.625
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,4000000,91.253
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,4000000,78.733
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,4000000,91.223
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,5000000,84.644
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,5000000,91.617
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,5000000,78.454
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,5000000,91.571
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,6000000,84.617
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,6000000,91.897
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,6000000,78.259
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,6000000,91.857
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,7000000,84.511
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,7000000,92.065
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,7000000,78.05
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,7000000,92.062
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,8000000,84.434
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,8000000,92.244
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,8000000,77.884
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,8000000,92.231
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,9000000,84.478
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,9000000,92.416
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,9000000,77.678
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,9000000,92.422
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,10000000,84.471
42,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,10000000,92.592
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,10000000,77.706
42,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,10000000,92.568
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,1000000,83.817
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,1000000,88.513
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,1000000,80.01
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,1000000,88.846
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,2000000,84.306
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,2000000,89.96
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,2000000,79.387
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,2000000,90.099
