seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,sift10m,64,8,ivf_tq,1000000,83.929,0.0
42,sift10m,64,8,ivf_pq_stale,1000000,72.574,0.0
42,sift10m,64,8,ivf_pq_retrain,1000000,72.574,0.0
42,sift10m,64,8,ivf_tq,2000000,84.4,21.3
42,sift10m,64,8,ivf_pq_stale,2000000,70.822,21.3
42,sift10m,64,8,ivf_pq_retrain,2000000,70.879,21.3
42,sift10m,64,8,ivf_tq,3000000,84.585,46.9
42,sift10m,64,8,ivf_pq_stale,3000000,70.047,46.9
42,sift10m,64,8,ivf_pq_retrain,3000000,69.977,46.9
42,sift10m,64,8,ivf_tq,4000000,84.566,76.9
42,sift10m,64,8,ivf_pq_stale,4000000,69.324,76.9
42,sift10m,64,8,ivf_pq_retrain,4000000,69.182,76.9
42,sift10m,64,8,ivf_tq,5000000,84.662,111.7
42,sift10m,64,8,ivf_pq_stale,5000000,68.698,111.7
42,sift10m,64,8,ivf_pq_retrain,5000000,68.652,111.7
42,sift10m,64,8,ivf_tq,6000000,84.702,151.4
42,sift10m,64,8,ivf_pq_stale,6000000,68.211,151.4
42,sift10m,64,8,ivf_pq_retrain,6000000,68.066,151.4
42,sift10m,64,8,ivf_tq,7000000,84.581,194.0
42,sift10m,64,8,ivf_pq_stale,7000000,67.864,194.0
42,sift10m,64,8,ivf_pq_retrain,7000000,67.739,194.0
42,sift10m,64,8,ivf_tq,8000000,84.48,242.9
42,sift10m,64,8,ivf_pq_stale,8000000,67.597,242.9
42,sift10m,64,8,ivf_pq_retrain,8000000,67.32,242.9
42,sift10m,64,8,ivf_tq,9000000,84.419,295.2
42,sift10m,64,8,ivf_pq_stale,9000000,67.298,295.2
42,sift10m,64,8,ivf_pq_retrain,9000000,66.778,295.2
42,sift10m,64,8,ivf_tq,10000000,84.557,353.1
42,sift10m,64,8,ivf_pq_stale,10000000,66.913,353.1
42,sift10m,64,8,ivf_pq_retrain,10000000,66.893,353.1
123,sift10m,64,8,ivf_tq,1000000,83.877,0.0
123,sift10m,64,8,ivf_pq_stale,1000000,72.248,0.0
123,sift10m,64,8,ivf_pq_retrain,1000000,72.248,0.0
123,sift10m,64,8,ivf_tq,2000000,84.29,21.6
123,sift10m,64,8,ivf_pq_stale,2000000,70.713,21.6
123,sift10m,64,8,ivf_pq_retrain,2000000,70.671,21.6
123,sift10m,64,8,ivf_tq,3000000,84.369,48.8
123,sift10m,64,8,ivf_pq_stale,3000000,69.967,48.8
123,sift10m,64,8,ivf_pq_retrain,3000000,69.862,48.8
123,sift10m,64,8,ivf_tq,4000000,84.557,78.5
123,sift10m,64,8,ivf_pq_stale,4000000,69.024,78.5
123,sift10m,64,8,ivf_pq_retrain,4000000,69.208,78.5
123,sift10m,64,8,ivf_tq,5000000,84.343,112.4
123,sift10m,64,8,ivf_pq_stale,5000000,68.334,112.4
123,sift10m,64,8,ivf_pq_retrain,5000000,68.572,112.4
123,sift10m,64,8,ivf_tq,6000000,84.404,151.2
123,sift10m,64,8,ivf_pq_stale,6000000,67.642,151.2
123,sift10m,64,8,ivf_pq_retrain,6000000,68.134,151.2
123,sift10m,64,8,ivf_tq,7000000,84.485,195.6
123,sift10m,64,8,ivf_pq_stale,7000000,67.225,195.6
123,sift10m,64,8,ivf_pq_retrain,7000000,67.558,195.6
123,sift10m,64,8,ivf_tq,8000000,84.386,247.8
123,sift10m,64,8,ivf_pq_stale,8000000,66.85,247.8
123,sift10m,64,8,ivf_pq_retrain,8000000,67.417,247.8
123,sift10m,64,8,ivf_tq,9000000,84.459,301.8
123,sift10m,64,8,ivf_pq_stale,9000000,66.554,301.8
123,sift10m,64,8,ivf_pq_retrain,9000000,66.833,301.8
123,sift10m,64,8,ivf_tq,10000000,84.343,365.0
123,sift10m,64,8,ivf_pq_stale,10000000,66.354,365.0
123,sift10m,64,8,ivf_pq_retrain,10000000,66.735,365.0
7777,sift10m,64,8,ivf_tq,1000000,83.938,0.0
7777,sift10m,64,8,ivf_pq_stale,1000000,72.43,0.0
7777,sift10m,64,8,ivf_pq_retrain,1000000,72.43,0.0
7777,sift10m,64,8,ivf_tq,2000000,84.241,21.8
7777,sift10m,64,8,ivf_pq_stale,2000000,70.963,21.8
7777,sift10m,64,8,ivf_pq_retrain,2000000,71.131,21.8
7777,sift10m,64,8,ivf_tq,3000000,84.509,47.8
7777,sift10m,64,8,ivf_pq_stale,3000000,69.951,47.8
7777,sift10m,64,8,ivf_pq_retrain,3000000,69.664,47.8
7777,sift10m,64,8,ivf_tq,4000000,84.602,78.0
7777,sift10m,64,8,ivf_pq_stale,4000000,69.034,78.0
7777,sift10m,64,8,ivf_pq_retrain,4000000,69.195,78.0
7777,sift10m,64,8,ivf_tq,5000000,84.514,113.9
7777,sift10m,64,8,ivf_pq_stale,5000000,68.516,113.9
7777,sift10m,64,8,ivf_pq_retrain,5000000,68.368,113.9
7777,sift10m,64,8,ivf_tq,6000000,84.573,152.4
7777,sift10m,64,8,ivf_pq_stale,6000000,68.051,152.4
7777,sift10m,64,8,ivf_pq_retrain,6000000,68.11,152.4
7777,sift10m,64,8,ivf_tq,7000000,84.506,196.1
7777,sift10m,64,8,ivf_pq_stale,7000000,67.652,196.1
7777,sift10m,64,8,ivf_pq_retrain,7000000,67.801,196.1
7777,sift10m,64,8,ivf_tq,8000000,84.492,243.8
7777,sift10m,64,8,ivf_pq_stale,8000000,67.221,243.8
7777,sift10m,64,8,ivf_pq_retrain,8000000,67.345,243.8
7777,sift10m,64,8,ivf_tq,9000000,84.5,296.9
