seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,sift10m,128,8,ivf_tq,1000000,83.929,0.0
42,sift10m,128,8,ivf_pq_stale,1000000,85.476,0.0
42,sift10m,128,8,ivf_pq_retrain,1000000,85.476,0.0
42,sift10m,128,8,ivf_tq,2000000,84.4,26.1
42,sift10m,128,8,ivf_pq_stale,2000000,85.905,26.1
42,sift10m,128,8,ivf_pq_retrain,2000000,85.925,26.1
42,sift10m,128,8,ivf_tq,3000000,84.585,58.2
42,sift10m,128,8,ivf_pq_stale,3000000,86.185,58.2
42,sift10m,128,8,ivf_pq_retrain,3000000,86.24,58.2
42,sift10m,128,8,ivf_tq,4000000,84.566,96.7
42,sift10m,128,8,ivf_pq_stale,4000000,86.379,96.7
42,sift10m,128,8,ivf_pq_retrain,4000000,86.386,96.7
42,sift10m,128,8,ivf_tq,5000000,84.662,142.3
42,sift10m,128,8,ivf_pq_stale,5000000,86.326,142.3
42,sift10m,128,8,ivf_pq_retrain,5000000,86.462,142.3
42,sift10m,128,8,ivf_tq,6000000,84.702,193.9
42,sift10m,128,8,ivf_pq_stale,6000000,86.348,193.9
42,sift10m,128,8,ivf_pq_retrain,6000000,86.341,193.9
42,sift10m,128,8,ivf_tq,7000000,84.581,253.1
42,sift10m,128,8,ivf_pq_stale,7000000,86.442,253.1
42,sift10m,128,8,ivf_pq_retrain,7000000,86.529,253.1
42,sift10m,128,8,ivf_tq,8000000,84.48,320.7
42,sift10m,128,8,ivf_pq_stale,8000000,86.38,320.7
42,sift10m,128,8,ivf_pq_retrain,8000000,86.27,320.7
42,sift10m,128,8,ivf_tq,9000000,84.419,395.8
42,sift10m,128,8,ivf_pq_stale,9000000,86.48,395.8
42,sift10m,128,8,ivf_pq_retrain,9000000,86.372,395.8
42,sift10m,128,8,ivf_tq,10000000,84.557,476.5
42,sift10m,128,8,ivf_pq_stale,10000000,86.625,476.5
42,sift10m,128,8,ivf_pq_retrain,10000000,86.739,476.5
123,sift10m,128,8,ivf_tq,1000000,83.877,0.0
123,sift10m,128,8,ivf_pq_stale,1000000,85.345,0.0
123,sift10m,128,8,ivf_pq_retrain,1000000,85.345,0.0
123,sift10m,128,8,ivf_tq,2000000,84.29,26.5
123,sift10m,128,8,ivf_pq_stale,2000000,85.778,26.5
123,sift10m,128,8,ivf_pq_retrain,2000000,85.593,26.5
123,sift10m,128,8,ivf_tq,3000000,84.369,59.0
123,sift10m,128,8,ivf_pq_stale,3000000,86.003,59.0
123,sift10m,128,8,ivf_pq_retrain,3000000,86.141,59.0
123,sift10m,128,8,ivf_tq,4000000,84.557,97.6
123,sift10m,128,8,ivf_pq_stale,4000000,86.008,97.6
123,sift10m,128,8,ivf_pq_retrain,4000000,86.332,97.6
123,sift10m,128,8,ivf_tq,5000000,84.343,143.3
123,sift10m,128,8,ivf_pq_stale,5000000,86.087,143.3
123,sift10m,128,8,ivf_pq_retrain,5000000,86.408,143.3
123,sift10m,128,8,ivf_tq,6000000,84.404,195.1
123,sift10m,128,8,ivf_pq_stale,6000000,86.158,195.1
123,sift10m,128,8,ivf_pq_retrain,6000000,86.071,195.1
123,sift10m,128,8,ivf_tq,7000000,84.485,252.4
123,sift10m,128,8,ivf_pq_stale,7000000,86.125,252.4
123,sift10m,128,8,ivf_pq_retrain,7000000,86.286,252.4
123,sift10m,128,8,ivf_tq,8000000,84.386,318.0
123,sift10m,128,8,ivf_pq_stale,8000000,86.236,318.0
123,sift10m,128,8,ivf_pq_retrain,8000000,86.412,318.0
123,sift10m,128,8,ivf_tq,9000000,84.459,391.1
123,sift10m,128,8,ivf_pq_stale,9000000,86.255,391.1
123,sift10m,128,8,ivf_pq_retrain,9000000,86.3,391.1
123,sift10m,128,8,ivf_tq,10000000,84.343,473.0
123,sift10m,128,8,ivf_pq_stale,10000000,86.379,473.0
123,sift10m,128,8,ivf_pq_retrain,10000000,86.585,473.0
7777,sift10m,128,8,ivf_tq,1000000,83.938,0.0
7777,sift10m,128,8,ivf_pq_stale,1000000,85.428,0.0
7777,sift10m,128,8,ivf_pq_retrain,1000000,85.428,0.0
