seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,sift10m,64,10,ivf_tq,1000000,83.929,0.0
42,sift10m,64,10,ivf_pq_stale,1000000,80.174,0.0
42,sift10m,64,10,ivf_pq_retrain,1000000,80.174,0.0
42,sift10m,64,10,ivf_tq,2000000,84.4,42.3
42,sift10m,64,10,ivf_pq_stale,2000000,79.451,42.3
42,sift10m,64,10,ivf_pq_retrain,2000000,79.551,42.3
42,sift10m,64,10,ivf_tq,3000000,84.585,96.5
42,sift10m,64,10,ivf_pq_stale,3000000,78.997,96.5
42,sift10m,64,10,ivf_pq_retrain,3000000,79.149,96.5
42,sift10m,64,10,ivf_tq,4000000,84.566,162.7
42,sift10m,64,10,ivf_pq_stale,4000000,78.733,162.7
42,sift10m,64,10,ivf_pq_retrain,4000000,78.978,162.7
42,sift10m,64,10,ivf_tq,5000000,84.662,241.3
42,sift10m,64,10,ivf_pq_stale,5000000,78.454,241.3
42,sift10m,64,10,ivf_pq_retrain,5000000,78.472,241.3
42,sift10m,64,10,ivf_tq,6000000,84.702,331.2
42,sift10m,64,10,ivf_pq_stale,6000000,78.259,331.2
42,sift10m,64,10,ivf_pq_retrain,6000000,78.395,331.2
42,sift10m,64,10,ivf_tq,7000000,84.581,432.7
42,sift10m,64,10,ivf_pq_stale,7000000,78.05,432.7
42,sift10m,64,10,ivf_pq_retrain,7000000,78.116,432.7
42,sift10m,64,10,ivf_tq,8000000,84.48,548.0
42,sift10m,64,10,ivf_pq_stale,8000000,77.884,548.0
42,sift10m,64,10,ivf_pq_retrain,8000000,77.882,548.0
42,sift10m,64,10,ivf_tq,9000000,84.419,676.3
42,sift10m,64,10,ivf_pq_stale,9000000,77.678,676.3
42,sift10m,64,10,ivf_pq_retrain,9000000,77.857,676.3
42,sift10m,64,10,ivf_tq,10000000,84.557,817.7
42,sift10m,64,10,ivf_pq_stale,10000000,77.706,817.7
42,sift10m,64,10,ivf_pq_retrain,10000000,77.656,817.7
123,sift10m,64,10,ivf_tq,1000000,83.877,0.0
123,sift10m,64,10,ivf_pq_stale,1000000,80.01,0.0
123,sift10m,64,10,ivf_pq_retrain,1000000,80.01,0.0
123,sift10m,64,10,ivf_tq,2000000,84.29,42.1
123,sift10m,64,10,ivf_pq_stale,2000000,79.387,42.1
123,sift10m,64,10,ivf_pq_retrain,2000000,79.538,42.1
123,sift10m,64,10,ivf_tq,3000000,84.369,96.5
123,sift10m,64,10,ivf_pq_stale,3000000,79.079,96.5
123,sift10m,64,10,ivf_pq_retrain,3000000,79.141,96.5
123,sift10m,64,10,ivf_tq,4000000,84.557,162.9
123,sift10m,64,10,ivf_pq_stale,4000000,78.721,162.9
123,sift10m,64,10,ivf_pq_retrain,4000000,79.026,162.9
123,sift10m,64,10,ivf_tq,5000000,84.343,241.9
123,sift10m,64,10,ivf_pq_stale,5000000,78.227,241.9
123,sift10m,64,10,ivf_pq_retrain,5000000,78.7,241.9
123,sift10m,64,10,ivf_tq,6000000,84.404,333.8
123,sift10m,64,10,ivf_pq_stale,6000000,78.116,333.8
123,sift10m,64,10,ivf_pq_retrain,6000000,78.421,333.8
123,sift10m,64,10,ivf_tq,7000000,84.485,436.6
123,sift10m,64,10,ivf_pq_stale,7000000,78.019,436.6
123,sift10m,64,10,ivf_pq_retrain,7000000,78.093,436.6
123,sift10m,64,10,ivf_tq,8000000,84.386,553.2
123,sift10m,64,10,ivf_pq_stale,8000000,77.919,553.2
123,sift10m,64,10,ivf_pq_retrain,8000000,77.951,553.2
123,sift10m,64,10,ivf_tq,9000000,84.459,683.7
123,sift10m,64,10,ivf_pq_stale,9000000,77.803,683.7
123,sift10m,64,10,ivf_pq_retrain,9000000,77.743,683.7
123,sift10m,64,10,ivf_tq,10000000,84.343,822.7
123,sift10m,64,10,ivf_pq_stale,10000000,77.671,822.7
123,sift10m,64,10,ivf_pq_retrain,10000000,77.563,822.7
7777,sift10m,64,10,ivf_tq,1000000,83.938,0.0
7777,sift10m,64,10,ivf_pq_stale,1000000,79.819,0.0
7777,sift10m,64,10,ivf_pq_retrain,1000000,79.819,0.0
7777,sift10m,64,10,ivf_tq,2000000,84.241,42.2
7777,sift10m,64,10,ivf_pq_stale,2000000,79.524,42.2
7777,sift10m,64,10,ivf_pq_retrain,2000000,79.473,42.2
7777,sift10m,64,10,ivf_tq,3000000,84.509,96.8
7777,sift10m,64,10,ivf_pq_stale,3000000,79.09,96.8
7777,sift10m,64,10,ivf_pq_retrain,3000000,78.958,96.8
7777,sift10m,64,10,ivf_tq,4000000,84.602,163.2
7777,sift10m,64,10,ivf_pq_stale,4000000,78.678,163.2
7777,sift10m,64,10,ivf_pq_retrain,4000000,78.831,163.2
7777,sift10m,64,10,ivf_tq,5000000,84.514,241.1
7777,sift10m,64,10,ivf_pq_stale,5000000,78.266,241.1
7777,sift10m,64,10,ivf_pq_retrain,5000000,78.52,241.1
7777,sift10m,64,10,ivf_tq,6000000,84.573,331.1
7777,sift10m,64,10,ivf_pq_stale,6000000,78.236,331.1
7777,sift10m,64,10,ivf_pq_retrain,6000000,78.44,331.1
7777,sift10m,64,10,ivf_tq,7000000,84.506,436.3
7777,sift10m,64,10,ivf_pq_stale,7000000,78.074,436.3
7777,sift10m,64,10,ivf_pq_retrain,7000000,78.17,436.3
7777,sift10m,64,10,ivf_tq,8000000,84.492,550.5
7777,sift10m,64,10,ivf_pq_stale,8000000,77.882,550.5
7777,sift10m,64,10,ivf_pq_retrain,8000000,77.898,550.5
7777,sift10m,64,10,ivf_tq,9000000,84.5,678.9
7777,sift10m,64,10,ivf_pq_stale,9000000,77.706,678.9
7777,sift10m,64,10,ivf_pq_retrain,9000000,77.979,678.9
7777,sift10m,64,10,ivf_tq,10000000,84.519,821.7
7777,sift10m,64,10,ivf_pq_stale,10000000,77.684,821.7
