seed,condition,index,state,recall10
42,original,ivf_tq,200K,89.626
42,original,ivf_tq,1M,92.118
42,original,ivf_pq,200K,73.394
42,original,ivf_pq,1M,69.379
42,shuffled,ivf_tq,200K,89.626
42,shuffled,ivf_tq,1M,92.119
42,shuffled,ivf_pq,200K,73.394
42,shuffled,ivf_pq,1M,69.378
42,mean_shift,ivf_tq,200K,89.626
42,mean_shift,ivf_tq,1M,91.293
42,mean_shift,ivf_pq,200K,73.394
42,mean_shift,ivf_pq,1M,70.832
123,original,ivf_tq,200K,89.534
123,original,ivf_tq,1M,92.015
123,original,ivf_pq,200K,73.032
123,original,ivf_pq,1M,69.108
123,shuffled,ivf_tq,200K,89.534
123,shuffled,ivf_tq,1M,92.007
123,shuffled,ivf_pq,200K,73.032
123,shuffled,ivf_pq,1M,69.108
123,mean_shift,ivf_tq,200K,89.534
123,mean_shift,ivf_tq,1M,91.393
123,mean_shift,ivf_pq,200K,73.032
123,mean_shift,ivf_pq,1M,70.59
7777,original,ivf_tq,200K,89.475
7777,original,ivf_tq,1M,92.02
7777,original,ivf_pq,200K,73.27
7777,original,ivf_pq,1M,69.392
7777,shuffled,ivf_tq,200K,89.475
7777,shuffled,ivf_tq,1M,92.019
7777,shuffled,ivf_pq,200K,73.27
7777,shuffled,ivf_pq,1M,69.39
7777,mean_shift,ivf_tq,200K,89.475
7777,mean_shift,ivf_tq,1M,91.423
7777,mean_shift,ivf_pq,200K,73.27
7777,mean_shift,ivf_pq,1M,70.572
