seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,t2i10m,100,8,ivf_tq,1000000,81.613,0.0
42,t2i10m,100,8,ivf_pq_stale,1000000,76.627,0.0
42,t2i10m,100,8,ivf_pq_retrain,1000000,76.627,0.0
42,t2i10m,100,8,ivf_tq,2000000,81.577,27.1
42,t2i10m,100,8,ivf_pq_stale,2000000,75.809,27.1
42,t2i10m,100,8,ivf_pq_retrain,2000000,75.8,27.1
42,t2i10m,100,8,ivf_tq,3000000,81.519,61.2
42,t2i10m,100,8,ivf_pq_stale,3000000,75.346,61.2
42,t2i10m,100,8,ivf_pq_retrain,3000000,74.949,61.2
42,t2i10m,100,8,ivf_tq,4000000,81.269,100.6
42,t2i10m,100,8,ivf_pq_stale,4000000,74.976,100.6
42,t2i10m,100,8,ivf_pq_retrain,4000000,75.091,100.6
42,t2i10m,100,8,ivf_tq,5000000,81.356,145.7
42,t2i10m,100,8,ivf_pq_stale,5000000,74.563,145.7
42,t2i10m,100,8,ivf_pq_retrain,5000000,74.742,145.7
42,t2i10m,100,8,ivf_tq,6000000,81.155,200.2
42,t2i10m,100,8,ivf_pq_stale,6000000,74.214,200.2
42,t2i10m,100,8,ivf_pq_retrain,6000000,74.522,200.2
42,t2i10m,100,8,ivf_tq,7000000,81.138,263.6
42,t2i10m,100,8,ivf_pq_stale,7000000,74.016,263.6
42,t2i10m,100,8,ivf_pq_retrain,7000000,73.961,263.6
42,t2i10m,100,8,ivf_tq,8000000,81.111,343.1
42,t2i10m,100,8,ivf_pq_stale,8000000,73.811,343.1
42,t2i10m,100,8,ivf_pq_retrain,8000000,73.792,343.1
42,t2i10m,100,8,ivf_tq,9000000,81.053,426.0
42,t2i10m,100,8,ivf_pq_stale,9000000,73.591,426.0
42,t2i10m,100,8,ivf_pq_retrain,9000000,73.671,426.0
42,t2i10m,100,8,ivf_tq,10000000,80.862,519.9
42,t2i10m,100,8,ivf_pq_stale,10000000,73.505,519.9
42,t2i10m,100,8,ivf_pq_retrain,10000000,73.403,519.9
123,t2i10m,100,8,ivf_tq,1000000,81.531,0.0
123,t2i10m,100,8,ivf_pq_stale,1000000,76.752,0.0
123,t2i10m,100,8,ivf_pq_retrain,1000000,76.752,0.0
123,t2i10m,100,8,ivf_tq,2000000,81.372,31.5
123,t2i10m,100,8,ivf_pq_stale,2000000,75.794,31.5
123,t2i10m,100,8,ivf_pq_retrain,2000000,75.816,31.5
123,t2i10m,100,8,ivf_tq,3000000,81.184,66.7
123,t2i10m,100,8,ivf_pq_stale,3000000,75.178,66.7
123,t2i10m,100,8,ivf_pq_retrain,3000000,75.177,66.7
123,t2i10m,100,8,ivf_tq,4000000,81.244,108.6
123,t2i10m,100,8,ivf_pq_stale,4000000,74.982,108.6
123,t2i10m,100,8,ivf_pq_retrain,4000000,75.034,108.6
123,t2i10m,100,8,ivf_tq,5000000,81.362,156.8
123,t2i10m,100,8,ivf_pq_stale,5000000,74.647,156.8
123,t2i10m,100,8,ivf_pq_retrain,5000000,74.723,156.8
123,t2i10m,100,8,ivf_tq,6000000,81.183,212.0
123,t2i10m,100,8,ivf_pq_stale,6000000,74.268,212.0
123,t2i10m,100,8,ivf_pq_retrain,6000000,74.348,212.0
123,t2i10m,100,8,ivf_tq,7000000,81.136,278.0
123,t2i10m,100,8,ivf_pq_stale,7000000,74.039,278.0
123,t2i10m,100,8,ivf_pq_retrain,7000000,74.316,278.0
123,t2i10m,100,8,ivf_tq,8000000,81.042,354.0
123,t2i10m,100,8,ivf_pq_stale,8000000,73.843,354.0
123,t2i10m,100,8,ivf_pq_retrain,8000000,73.85,354.0
123,t2i10m,100,8,ivf_tq,9000000,80.979,439.5
123,t2i10m,100,8,ivf_pq_stale,9000000,73.601,439.5
123,t2i10m,100,8,ivf_pq_retrain,9000000,73.718,439.5
123,t2i10m,100,8,ivf_tq,10000000,80.929,534.1
123,t2i10m,100,8,ivf_pq_stale,10000000,73.497,534.1
123,t2i10m,100,8,ivf_pq_retrain,10000000,73.52,534.1
7777,t2i10m,100,8,ivf_tq,1000000,81.789,0.0
7777,t2i10m,100,8,ivf_pq_stale,1000000,76.752,0.0
7777,t2i10m,100,8,ivf_pq_retrain,1000000,76.752,0.0
7777,t2i10m,100,8,ivf_tq,2000000,81.606,27.7
7777,t2i10m,100,8,ivf_pq_stale,2000000,75.533,27.7
7777,t2i10m,100,8,ivf_pq_retrain,2000000,75.982,27.7
7777,t2i10m,100,8,ivf_tq,3000000,81.448,61.8
7777,t2i10m,100,8,ivf_pq_stale,3000000,75.117,61.8
7777,t2i10m,100,8,ivf_pq_retrain,3000000,75.425,61.8
7777,t2i10m,100,8,ivf_tq,4000000,81.295,102.7
7777,t2i10m,100,8,ivf_pq_stale,4000000,74.702,102.7
7777,t2i10m,100,8,ivf_pq_retrain,4000000,74.867,102.7
7777,t2i10m,100,8,ivf_tq,5000000,81.038,150.1
7777,t2i10m,100,8,ivf_pq_stale,5000000,74.373,150.1
7777,t2i10m,100,8,ivf_pq_retrain,5000000,74.464,150.1
7777,t2i10m,100,8,ivf_tq,6000000,81.121,206.3
7777,t2i10m,100,8,ivf_pq_stale,6000000,74.168,206.3
7777,t2i10m,100,8,ivf_pq_retrain,6000000,74.393,206.3
7777,t2i10m,100,8,ivf_tq,7000000,80.951,270.3
7777,t2i10m,100,8,ivf_pq_stale,7000000,73.852,270.3
7777,t2i10m,100,8,ivf_pq_retrain,7000000,74.178,270.3
7777,t2i10m,100,8,ivf_tq,8000000,80.922,343.2
7777,t2i10m,100,8,ivf_pq_stale,8000000,73.783,343.2
7777,t2i10m,100,8,ivf_pq_retrain,8000000,73.797,343.2
7777,t2i10m,100,8,ivf_tq,9000000,80.912,429.2
7777,t2i10m,100,8,ivf_pq_stale,9000000,73.54,429.2
7777,t2i10m,100,8,ivf_pq_retrain,9000000,73.589,429.2
7777,t2i10m,100,8,ivf_tq,10000000,80.857,521.2
7777,t2i10m,100,8,ivf_pq_stale,10000000,73.407,521.2
7777,t2i10m,100,8,ivf_pq_retrain,10000000,73.185,521.2
