seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,t2i10m,200,8,ivf_tq,1000000,81.613,0.0
42,t2i10m,200,8,ivf_pq_stale,1000000,84.887,0.0
42,t2i10m,200,8,ivf_pq_retrain,1000000,84.887,0.0
42,t2i10m,200,8,ivf_tq,2000000,81.577,35.9
42,t2i10m,200,8,ivf_pq_stale,2000000,85.375,35.9
42,t2i10m,200,8,ivf_pq_retrain,2000000,85.526,35.9
42,t2i10m,200,8,ivf_tq,3000000,81.519,82.0
42,t2i10m,200,8,ivf_pq_stale,3000000,85.598,82.0
42,t2i10m,200,8,ivf_pq_retrain,3000000,85.36,82.0
42,t2i10m,200,8,ivf_tq,4000000,81.269,138.1
42,t2i10m,200,8,ivf_pq_stale,4000000,85.809,138.1
42,t2i10m,200,8,ivf_pq_retrain,4000000,85.966,138.1
42,t2i10m,200,8,ivf_tq,5000000,81.356,203.5
42,t2i10m,200,8,ivf_pq_stale,5000000,85.839,203.5
42,t2i10m,200,8,ivf_pq_retrain,5000000,86.079,203.5
42,t2i10m,200,8,ivf_tq,6000000,81.155,280.4
42,t2i10m,200,8,ivf_pq_stale,6000000,85.856,280.4
42,t2i10m,200,8,ivf_pq_retrain,6000000,86.137,280.4
42,t2i10m,200,8,ivf_tq,7000000,81.138,374.9
42,t2i10m,200,8,ivf_pq_stale,7000000,85.869,374.9
42,t2i10m,200,8,ivf_pq_retrain,7000000,85.86,374.9
42,t2i10m,200,8,ivf_tq,8000000,81.111,481.8
42,t2i10m,200,8,ivf_pq_stale,8000000,86.011,481.8
42,t2i10m,200,8,ivf_pq_retrain,8000000,86.1,481.8
42,t2i10m,200,8,ivf_tq,9000000,81.053,602.8
42,t2i10m,200,8,ivf_pq_stale,9000000,86.055,602.8
42,t2i10m,200,8,ivf_pq_retrain,9000000,86.079,602.8
42,t2i10m,200,8,ivf_tq,10000000,80.862,742.1
42,t2i10m,200,8,ivf_pq_stale,10000000,86.123,742.1
42,t2i10m,200,8,ivf_pq_retrain,10000000,86.057,742.1
123,t2i10m,200,8,ivf_tq,1000000,81.531,0.0
123,t2i10m,200,8,ivf_pq_stale,1000000,85.028,0.0
123,t2i10m,200,8,ivf_pq_retrain,1000000,85.028,0.0
123,t2i10m,200,8,ivf_tq,2000000,81.372,36.2
123,t2i10m,200,8,ivf_pq_stale,2000000,85.333,36.2
123,t2i10m,200,8,ivf_pq_retrain,2000000,85.52,36.2
123,t2i10m,200,8,ivf_tq,3000000,81.184,81.7
123,t2i10m,200,8,ivf_pq_stale,3000000,85.57,81.7
123,t2i10m,200,8,ivf_pq_retrain,3000000,85.496,81.7
123,t2i10m,200,8,ivf_tq,4000000,81.244,136.8
123,t2i10m,200,8,ivf_pq_stale,4000000,85.62,136.8
123,t2i10m,200,8,ivf_pq_retrain,4000000,85.976,136.8
123,t2i10m,200,8,ivf_tq,5000000,81.362,200.3
123,t2i10m,200,8,ivf_pq_stale,5000000,85.803,200.3
123,t2i10m,200,8,ivf_pq_retrain,5000000,86.004,200.3
123,t2i10m,200,8,ivf_tq,6000000,81.183,281.7
123,t2i10m,200,8,ivf_pq_stale,6000000,85.804,281.7
123,t2i10m,200,8,ivf_pq_retrain,6000000,85.844,281.7
123,t2i10m,200,8,ivf_tq,7000000,81.136,377.4
123,t2i10m,200,8,ivf_pq_stale,7000000,85.905,377.4
123,t2i10m,200,8,ivf_pq_retrain,7000000,86.099,377.4
123,t2i10m,200,8,ivf_tq,8000000,81.042,482.3
123,t2i10m,200,8,ivf_pq_stale,8000000,85.967,482.3
123,t2i10m,200,8,ivf_pq_retrain,8000000,85.967,482.3
123,t2i10m,200,8,ivf_tq,9000000,80.979,592.8
123,t2i10m,200,8,ivf_pq_stale,9000000,85.99,592.8
123,t2i10m,200,8,ivf_pq_retrain,9000000,86.172,592.8
123,t2i10m,200,8,ivf_tq,10000000,80.929,719.7
123,t2i10m,200,8,ivf_pq_stale,10000000,86.12,719.7
123,t2i10m,200,8,ivf_pq_retrain,10000000,86.118,719.7
7777,t2i10m,200,8,ivf_tq,1000000,81.789,0.0
7777,t2i10m,200,8,ivf_pq_stale,1000000,84.902,0.0
7777,t2i10m,200,8,ivf_pq_retrain,1000000,84.902,0.0
7777,t2i10m,200,8,ivf_tq,2000000,81.606,33.2
7777,t2i10m,200,8,ivf_pq_stale,2000000,85.093,33.2
7777,t2i10m,200,8,ivf_pq_retrain,2000000,85.419,33.2
7777,t2i10m,200,8,ivf_tq,3000000,81.448,74.7
7777,t2i10m,200,8,ivf_pq_stale,3000000,85.333,74.7
7777,t2i10m,200,8,ivf_pq_retrain,3000000,85.607,74.7
7777,t2i10m,200,8,ivf_tq,4000000,81.295,125.4
7777,t2i10m,200,8,ivf_pq_stale,4000000,85.565,125.4
7777,t2i10m,200,8,ivf_pq_retrain,4000000,85.685,125.4
7777,t2i10m,200,8,ivf_tq,5000000,81.038,192.6
7777,t2i10m,200,8,ivf_pq_stale,5000000,85.597,192.6
7777,t2i10m,200,8,ivf_pq_retrain,5000000,85.811,192.6
7777,t2i10m,200,8,ivf_tq,6000000,81.121,276.3
7777,t2i10m,200,8,ivf_pq_stale,6000000,85.559,276.3
7777,t2i10m,200,8,ivf_pq_retrain,6000000,86.19,276.3
7777,t2i10m,200,8,ivf_tq,7000000,80.951,374.5
7777,t2i10m,200,8,ivf_pq_stale,7000000,85.678,374.5
7777,t2i10m,200,8,ivf_pq_retrain,7000000,86.079,374.5
7777,t2i10m,200,8,ivf_tq,8000000,80.922,481.8
7777,t2i10m,200,8,ivf_pq_stale,8000000,85.753,481.8
7777,t2i10m,200,8,ivf_pq_retrain,8000000,86.009,481.8
7777,t2i10m,200,8,ivf_tq,9000000,80.912,595.8
7777,t2i10m,200,8,ivf_pq_stale,9000000,85.796,595.8
7777,t2i10m,200,8,ivf_pq_retrain,9000000,86.099,595.8
7777,t2i10m,200,8,ivf_tq,10000000,80.857,716.6
7777,t2i10m,200,8,ivf_pq_stale,10000000,85.777,716.6
7777,t2i10m,200,8,ivf_pq_retrain,10000000,85.805,716.6
