seed,dataset,m_pq,bits_per_sub,index,vectors_indexed,recall10,retrain_cum_seconds
42,t2i10m,100,10,ivf_tq,1000000,81.613,0.0
42,t2i10m,100,10,ivf_pq_stale,1000000,81.425,0.0
42,t2i10m,100,10,ivf_pq_retrain,1000000,81.425,0.0
42,t2i10m,100,10,ivf_tq,2000000,81.577,62.4
42,t2i10m,100,10,ivf_pq_stale,2000000,81.35,62.4
42,t2i10m,100,10,ivf_pq_retrain,2000000,81.385,62.4
42,t2i10m,100,10,ivf_tq,3000000,81.519,143.2
42,t2i10m,100,10,ivf_pq_stale,3000000,81.232,143.2
42,t2i10m,100,10,ivf_pq_retrain,3000000,80.814,143.2
42,t2i10m,100,10,ivf_tq,4000000,81.269,245.2
42,t2i10m,100,10,ivf_pq_stale,4000000,81.149,245.2
42,t2i10m,100,10,ivf_pq_retrain,4000000,81.466,245.2
42,t2i10m,100,10,ivf_tq,5000000,81.356,370.2
42,t2i10m,100,10,ivf_pq_stale,5000000,81.034,370.2
42,t2i10m,100,10,ivf_pq_retrain,5000000,81.131,370.2
42,t2i10m,100,10,ivf_tq,6000000,81.155,514.7
42,t2i10m,100,10,ivf_pq_stale,6000000,80.815,514.7
42,t2i10m,100,10,ivf_pq_retrain,6000000,81.099,514.7
42,t2i10m,100,10,ivf_tq,7000000,81.138,686.4
42,t2i10m,100,10,ivf_pq_stale,7000000,80.946,686.4
42,t2i10m,100,10,ivf_pq_retrain,7000000,80.783,686.4
42,t2i10m,100,10,ivf_tq,8000000,81.111,882.5
42,t2i10m,100,10,ivf_pq_stale,8000000,80.78,882.5
42,t2i10m,100,10,ivf_pq_retrain,8000000,80.651,882.5
42,t2i10m,100,10,ivf_tq,9000000,81.053,1100.6
42,t2i10m,100,10,ivf_pq_stale,9000000,80.652,1100.6
42,t2i10m,100,10,ivf_pq_retrain,9000000,80.635,1100.6
42,t2i10m,100,10,ivf_tq,10000000,80.862,1341.5
42,t2i10m,100,10,ivf_pq_stale,10000000,80.68,1341.5
42,t2i10m,100,10,ivf_pq_retrain,10000000,80.476,1341.5
123,t2i10m,100,10,ivf_tq,1000000,81.531,0.0
123,t2i10m,100,10,ivf_pq_stale,1000000,81.59,0.0
123,t2i10m,100,10,ivf_pq_retrain,1000000,81.59,0.0
123,t2i10m,100,10,ivf_tq,2000000,81.372,64.1
123,t2i10m,100,10,ivf_pq_stale,2000000,81.271,64.1
123,t2i10m,100,10,ivf_pq_retrain,2000000,81.326,64.1
123,t2i10m,100,10,ivf_tq,3000000,81.184,148.8
123,t2i10m,100,10,ivf_pq_stale,3000000,81.087,148.8
123,t2i10m,100,10,ivf_pq_retrain,3000000,81.183,148.8
123,t2i10m,100,10,ivf_tq,4000000,81.244,253.3
123,t2i10m,100,10,ivf_pq_stale,4000000,81.107,253.3
123,t2i10m,100,10,ivf_pq_retrain,4000000,81.243,253.3
123,t2i10m,100,10,ivf_tq,5000000,81.362,380.2
123,t2i10m,100,10,ivf_pq_stale,5000000,81.018,380.2
123,t2i10m,100,10,ivf_pq_retrain,5000000,81.11,380.2
123,t2i10m,100,10,ivf_tq,6000000,81.183,529.9
123,t2i10m,100,10,ivf_pq_stale,6000000,80.795,529.9
123,t2i10m,100,10,ivf_pq_retrain,6000000,80.998,529.9
123,t2i10m,100,10,ivf_tq,7000000,81.136,703.5
123,t2i10m,100,10,ivf_pq_stale,7000000,80.713,703.5
123,t2i10m,100,10,ivf_pq_retrain,7000000,80.811,703.5
123,t2i10m,100,10,ivf_tq,8000000,81.042,896.8
123,t2i10m,100,10,ivf_pq_stale,8000000,80.603,896.8
123,t2i10m,100,10,ivf_pq_retrain,8000000,80.748,896.8
123,t2i10m,100,10,ivf_tq,9000000,80.979,1109.0
123,t2i10m,100,10,ivf_pq_stale,9000000,80.557,1109.0
123,t2i10m,100,10,ivf_pq_retrain,9000000,80.714,1109.0
123,t2i10m,100,10,ivf_tq,10000000,80.929,1332.8
123,t2i10m,100,10,ivf_pq_stale,10000000,80.592,1332.8
123,t2i10m,100,10,ivf_pq_retrain,10000000,80.511,1332.8
7777,t2i10m,100,10,ivf_tq,1000000,81.789,0.0
7777,t2i10m,100,10,ivf_pq_stale,1000000,81.426,0.0
