seed,dataset,variant,vectors_indexed,recall10
42,deep10m,uncompressed_ivf,1000000,92.602
42,deep10m,ivf_tq,1000000,87.292
42,deep10m,uncompressed_ivf,2000000,93.277
42,deep10m,ivf_tq,2000000,87.169
42,deep10m,uncompressed_ivf,3000000,93.742
42,deep10m,ivf_tq,3000000,86.98
42,deep10m,uncompressed_ivf,4000000,94.148
42,deep10m,ivf_tq,4000000,86.853
42,deep10m,uncompressed_ivf,5000000,94.375
42,deep10m,ivf_tq,5000000,86.725
42,deep10m,uncompressed_ivf,6000000,94.467
42,deep10m,ivf_tq,6000000,86.636
42,deep10m,uncompressed_ivf,7000000,94.673
42,deep10m,ivf_tq,7000000,86.521
42,deep10m,uncompressed_ivf,8000000,94.778
42,deep10m,ivf_tq,8000000,86.612
42,deep10m,uncompressed_ivf,9000000,94.852
42,deep10m,ivf_tq,9000000,86.604
42,deep10m,uncompressed_ivf,9990000,94.972
42,deep10m,ivf_tq,9990000,86.58
123,deep10m,uncompressed_ivf,1000000,92.467
123,deep10m,ivf_tq,1000000,87.309
123,deep10m,uncompressed_ivf,2000000,93.281
123,deep10m,ivf_tq,2000000,87.149
123,deep10m,uncompressed_ivf,3000000,93.675
123,deep10m,ivf_tq,3000000,87.199
123,deep10m,uncompressed_ivf,4000000,93.907
123,deep10m,ivf_tq,4000000,86.996
123,deep10m,uncompressed_ivf,5000000,94.193
123,deep10m,ivf_tq,5000000,86.885
123,deep10m,uncompressed_ivf,6000000,94.383
123,deep10m,ivf_tq,6000000,86.836
123,deep10m,uncompressed_ivf,7000000,94.538
123,deep10m,ivf_tq,7000000,86.765
123,deep10m,uncompressed_ivf,8000000,94.634
123,deep10m,ivf_tq,8000000,86.791
123,deep10m,uncompressed_ivf,9000000,94.75
123,deep10m,ivf_tq,9000000,86.634
123,deep10m,uncompressed_ivf,9990000,94.891
123,deep10m,ivf_tq,9990000,86.546
7777,deep10m,uncompressed_ivf,1000000,92.418
7777,deep10m,ivf_tq,1000000,87.353
7777,deep10m,uncompressed_ivf,2000000,93.258
7777,deep10m,ivf_tq,2000000,87.141
7777,deep10m,uncompressed_ivf,3000000,93.554
7777,deep10m,ivf_tq,3000000,87.064
7777,deep10m,uncompressed_ivf,4000000,93.875
7777,deep10m,ivf_tq,4000000,87.015
7777,deep10m,uncompressed_ivf,5000000,94.072
7777,deep10m,ivf_tq,5000000,86.906
7777,deep10m,uncompressed_ivf,6000000,94.269
7777,deep10m,ivf_tq,6000000,86.897
7777,deep10m,uncompressed_ivf,7000000,94.436
7777,deep10m,ivf_tq,7000000,86.796
7777,deep10m,uncompressed_ivf,8000000,94.537
7777,deep10m,ivf_tq,8000000,86.887
7777,deep10m,uncompressed_ivf,9000000,94.629
7777,deep10m,ivf_tq,9000000,86.77
7777,deep10m,uncompressed_ivf,9990000,94.675
7777,deep10m,ivf_tq,9990000,86.625
