seed,dataset,variant,vectors_indexed,recall10
42,sift10m,uncompressed_ivf,1000000,88.828
42,sift10m,ivf_tq,1000000,84.082
42,sift10m,uncompressed_ivf,2000000,90.023
42,sift10m,ivf_tq,2000000,84.381
42,sift10m,uncompressed_ivf,3000000,90.695
42,sift10m,ivf_tq,3000000,84.628
42,sift10m,uncompressed_ivf,4000000,91.289
42,sift10m,ivf_tq,4000000,84.625
42,sift10m,uncompressed_ivf,5000000,91.667
42,sift10m,ivf_tq,5000000,84.643
42,sift10m,uncompressed_ivf,6000000,91.955
42,sift10m,ivf_tq,6000000,84.618
42,sift10m,uncompressed_ivf,7000000,92.177
42,sift10m,ivf_tq,7000000,84.511
42,sift10m,uncompressed_ivf,8000000,92.354
42,sift10m,ivf_tq,8000000,84.434
42,sift10m,uncompressed_ivf,9000000,92.56
42,sift10m,ivf_tq,9000000,84.478
42,sift10m,uncompressed_ivf,10000000,92.72
42,sift10m,ivf_tq,10000000,84.471
123,sift10m,uncompressed_ivf,1000000,88.852
123,sift10m,ivf_tq,1000000,83.817
123,sift10m,uncompressed_ivf,2000000,90.118
123,sift10m,ivf_tq,2000000,84.306
123,sift10m,uncompressed_ivf,3000000,90.834
123,sift10m,ivf_tq,3000000,84.488
123,sift10m,uncompressed_ivf,4000000,91.263
123,sift10m,ivf_tq,4000000,84.559
123,sift10m,uncompressed_ivf,5000000,91.54
123,sift10m,ivf_tq,5000000,84.525
123,sift10m,uncompressed_ivf,6000000,91.882
123,sift10m,ivf_tq,6000000,84.598
123,sift10m,uncompressed_ivf,7000000,92.116
123,sift10m,ivf_tq,7000000,84.593
123,sift10m,uncompressed_ivf,8000000,92.398
123,sift10m,ivf_tq,8000000,84.544
123,sift10m,uncompressed_ivf,9000000,92.583
123,sift10m,ivf_tq,9000000,84.429
123,sift10m,uncompressed_ivf,10000000,92.806
123,sift10m,ivf_tq,10000000,84.561
7777,sift10m,uncompressed_ivf,1000000,88.827
7777,sift10m,ivf_tq,1000000,83.711
7777,sift10m,uncompressed_ivf,2000000,90.305
7777,sift10m,ivf_tq,2000000,84.054
7777,sift10m,uncompressed_ivf,3000000,90.932
7777,sift10m,ivf_tq,3000000,84.324
7777,sift10m,uncompressed_ivf,4000000,91.371
7777,sift10m,ivf_tq,4000000,84.44
7777,sift10m,uncompressed_ivf,5000000,91.669
7777,sift10m,ivf_tq,5000000,84.464
7777,sift10m,uncompressed_ivf,6000000,91.965
7777,sift10m,ivf_tq,6000000,84.436
7777,sift10m,uncompressed_ivf,7000000,92.174
7777,sift10m,ivf_tq,7000000,84.423
7777,sift10m,uncompressed_ivf,8000000,92.311
7777,sift10m,ivf_tq,8000000,84.444
7777,sift10m,uncompressed_ivf,9000000,92.516
7777,sift10m,ivf_tq,9000000,84.495
7777,sift10m,uncompressed_ivf,10000000,92.695
7777,sift10m,ivf_tq,10000000,84.524
