seed,dataset,variant,vectors_indexed,recall10
42,t2i10m,uncompressed_ivf,1000000,86.325
42,t2i10m,ivf_tq,1000000,81.691
42,t2i10m,uncompressed_ivf,2000000,87.089
42,t2i10m,ivf_tq,2000000,81.321
42,t2i10m,uncompressed_ivf,3000000,87.499
42,t2i10m,ivf_tq,3000000,81.397
42,t2i10m,uncompressed_ivf,4000000,87.887
42,t2i10m,ivf_tq,4000000,81.263
42,t2i10m,uncompressed_ivf,5000000,87.986
42,t2i10m,ivf_tq,5000000,81.186
42,t2i10m,uncompressed_ivf,6000000,88.132
42,t2i10m,ivf_tq,6000000,81.136
42,t2i10m,uncompressed_ivf,7000000,88.259
42,t2i10m,ivf_tq,7000000,80.992
42,t2i10m,uncompressed_ivf,8000000,88.405
42,t2i10m,ivf_tq,8000000,81.019
42,t2i10m,uncompressed_ivf,9000000,88.508
42,t2i10m,ivf_tq,9000000,80.978
42,t2i10m,uncompressed_ivf,10000000,88.61
42,t2i10m,ivf_tq,10000000,80.815
123,t2i10m,uncompressed_ivf,1000000,86.397
123,t2i10m,ivf_tq,1000000,81.566
123,t2i10m,uncompressed_ivf,2000000,87.011
123,t2i10m,ivf_tq,2000000,81.422
123,t2i10m,uncompressed_ivf,3000000,87.439
123,t2i10m,ivf_tq,3000000,81.301
123,t2i10m,uncompressed_ivf,4000000,87.729
123,t2i10m,ivf_tq,4000000,81.25
123,t2i10m,uncompressed_ivf,5000000,87.965
123,t2i10m,ivf_tq,5000000,81.122
123,t2i10m,uncompressed_ivf,6000000,88.085
123,t2i10m,ivf_tq,6000000,81.076
123,t2i10m,uncompressed_ivf,7000000,88.194
123,t2i10m,ivf_tq,7000000,81.085
123,t2i10m,uncompressed_ivf,8000000,88.319
123,t2i10m,ivf_tq,8000000,81.039
123,t2i10m,uncompressed_ivf,9000000,88.436
123,t2i10m,ivf_tq,9000000,80.915
123,t2i10m,uncompressed_ivf,10000000,88.569
123,t2i10m,ivf_tq,10000000,80.896
7777,t2i10m,uncompressed_ivf,1000000,86.355
7777,t2i10m,ivf_tq,1000000,81.612
7777,t2i10m,uncompressed_ivf,2000000,86.848
7777,t2i10m,ivf_tq,2000000,81.383
7777,t2i10m,uncompressed_ivf,3000000,87.305
7777,t2i10m,ivf_tq,3000000,81.367
7777,t2i10m,uncompressed_ivf,4000000,87.578
7777,t2i10m,ivf_tq,4000000,81.272
7777,t2i10m,uncompressed_ivf,5000000,87.771
7777,t2i10m,ivf_tq,5000000,81.312
7777,t2i10m,uncompressed_ivf,6000000,87.953
7777,t2i10m,ivf_tq,6000000,81.268
7777,t2i10m,uncompressed_ivf,7000000,88.076
7777,t2i10m,ivf_tq,7000000,81.167
7777,t2i10m,uncompressed_ivf,8000000,88.21
7777,t2i10m,ivf_tq,8000000,81.083
7777,t2i10m,uncompressed_ivf,9000000,88.277
7777,t2i10m,ivf_tq,9000000,80.984
7777,t2i10m,uncompressed_ivf,10000000,88.409
7777,t2i10m,ivf_tq,10000000,81.101
